Panigale ,V4 ,2018,Petrol ,"25,00,000"
Panigale ,V4 ,2021,Petrol ,"28,40,000"
Panigale ,V2 ,2021,Petrol ,"17,49,000"
,,,,
Scrambler ,800,2020,Petrol ,"9,80,000"
Srabler sled,,2020,Petrol ,"10,99,000"
Scrambler ,1100,2020,Petrol ,"13,74,000"
,,,,
Diavel ,1260,2021,Petrol ,"21,49,000"
XDiavel ,,2021,Petrol ,"18,49,000"
,,,,
Hypermotard ,950,2019,Petrol ,"16,24,000"
,,,,
Multistrada ,           V4 ,2003,Petrol ,"23,30,000"
