Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
FIGO-ASPIRE,TITANIUM,2015,DIESEL,784000
FIGO-ASPIRE,TITANIUM OPT,2015,DIESEL,802000
FIGO-ASPIRE,TITANIUM SPORTS,2015,DIESEL,818000
FIGO-ASPIRE,TITANIUM PLUS,2015,DIESEL,855000
FIGO-ASPIRE,TITANIUM ,2020,PETROL,728000
FIGO-ASPIRE,TITANIUM PLUS,2020,PETROL,763000
FIGO-ASPIRE,TITANIUM ,2020,DIESEL,838000
FIGO-ASPIRE,TITANIUM PLUS,2020,DIESEL,873000
,,,,
FREESTYLE,AMBIENTE,2018,PETROL,652000
FREESTYLE,TREND,2018,PETROL,717000
FREESTYLE,TREND PLUS,2018,PETROL,769000
FREESTYLE,TITANIUM,2018,PETROL,813000
FREESTYLE,TITANIUM PLUS,2018,PETROL,851000
FREESTYLE,AMBIENTE,2018,DIESEL,775000
FREESTYLE,TREND,2018,DIESEL,824000
FREESTYLE,TREND PLUS,2018,DIESEL,852000
FREESTYLE,TITANIUM,2018,DIESEL,903000
FREESTYLE,TITANIUM PLUS,2018,DIESEL,953000
FREESTYLE,FLAIR EDITION,2018,DIESEL,1029000
,,,,
ECOSPORT,AMBIENTE,2013,PETROL,805000
ECOSPORT,TREND,2013,PETROL,887000
ECOSPORT,TITANIUM,2013,PETROL,970000
ECOSPORT,TITANIUM ECOBOOST,2013,PETROL,1016000
ECOSPORT,TITANIUM ECOBOOST OPT,2013,PETROL,1078000
ECOSPORT,AMBIENTE,2013,DIESEL,898000
ECOSPORT,TREND,2013,DIESEL,979000
ECOSPORT,TITANIUM,2013,DIESEL,1085000
ECOSPORT,AMBIENTE,2015,PETROL,814000
ECOSPORT,TREND,2015,PETROL,897000
ECOSPORT,TREND PLUS ECOBOOST,2015,PETROL,971000
ECOSPORT,TREND PLUS ECOBOOST BLACK EDITION,2015,PETROL,1014000
ECOSPORT,TITANIUM,2015,PETROL,1021000
ECOSPORT,TITANIUM BLACK EDITION,2015,PETROL,1036000
