Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
IGNIS,ALPHA,2017,DIESEL,854000
IGNIS,SIGMA,2017,PETROL,537000
IGNIS,DELTA,2017,PETROL,604000
IGNIS,ZETA,2017,PETROL,650000
IGNIS,ALPHA,2017,PETROL,739000
IGNIS,SIGMA,2020,PETROL,509000
IGNIS,DELTA,2020,PETROL,580000
IGNIS,ZETA,2020,PETROL,621000
IGNIS,ALPHA,2020,PETROL,669000
,,,,
,,,,
BALENO,SIGMA,2015,DIESEL,740000
BALENO,DELTA,2015,DIESEL,817000
BALENO,ZETA,2015,DIESEL,884000
BALENO,ALPHA,2015,DIESEL,963000
BALENO,SIGMA,2015,PETROL,617000
BALENO,DELTA,2015,PETROL,695000
BALENO,ZETA,2015,PETROL,761000
BALENO,ALPHA,2015,PETROL,835000
BALENO,RS 1.0,2016,PETROL,953000
BALENO,SIGMA,2019,PETROL,598000
BALENO,DELTA,2019,PETROL,685000
BALENO,ZETA,2019,PETROL,748000
BALENO,ALPHA,2019,PETROL,824000
,,,,
XL8,ZETA,2019,PETROL,1108000
XL9,ALPHA,2019,PETROL,1195000
