Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
VERITO,D6 EXECUTIVE,2011,DIESEL,787000
VERITO,G2,2011,PETROL,559000
VERITO,G4,2011,PETROL,587000
VERITO,G4 PLAY,2011,PETROL,642000
VERITO,D2,2013,DIESEL,668000
VERITO,D4,2013,DIESEL,704000
VERITO,D6,2013,DIESEL,771000
VERITO,D6 EXECUTIVE,2013,DIESEL,892000
VERITO,G2,2013,PETROL,557000
VERITO,G4,2014,PETROL,607000
VERITO,G6,2015,PETROL,697000
VERITO,G6 EXECUTIVE,2016,PETROL,701000
,,,,
VERITOVIBE,D2,2013,DIESEL,726000
VERITOVIBE,D4,2014,DIESEL,756000
VERITOVIBE,D6,2015,DIESEL,826000
,,,,
THAR,4X2,2010,DIESEL,500000
THAR,4X4,2010,DIESEL,774000
THAR,DI 4X4,2010,DIESEL,778000
THAR,CRDe AC,2010,DIESEL,825000
THAR,2WD PS,2016,DIESEL,668000
THAR,4X4 NON AC,2016,DIESEL,699000
THAR,4WD PS,2016,DIESEL,727000
THAR,CRDe 4X4 AC1,2016,DIESEL,971000
THAR,CRDe 4X4 AC,2016,DIESEL,1081000
THAR,CRDE 4X4 ABS,2016,DIESEL,1098000
THAR,700 SPECIAL ED.,2016,DIESEL,1136000
THAR,AX CONVERTIBLE,2020,DIESEL,1298000
THAR,AX HARDTOP,2020,DIESEL,1308000
THAR,LX CONVERTIBLE ,2020,DIESEL,1358000
THAR,LX HARD TOP,2020,DIESEL,1368000
THAR,AX CONVERTIBLE,2020,PETROL,1278000
THAR,LX HARD TOP ,2020,PETROL,1338000
