Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
I10,ERA 1.1 iRDE,2010,PETROL,445000
I10,MAGNA 1.2 KAPPA,2010,PETROL,449000
I10,MAGNA 1.2 KAPPA SPECIAL EDITION,2010,PETROL,466000
I10,MAGNA 1.1 iRDE,2010,PETROL,469000
I10,MAGNA 1.1 IRDE SPECIAL EDITION,2010,PETROL,479000
I10,SPORTZ 1.2 kappa,2010,PETROL,481000
I10,SPORTZ 1.1 IRDE,2010,PETROL,499000
I10,SPORTZ 1.2 KAPPA (O),2010,PETROL,511000
I10,ASTA 1.2 KAPPA,2010,PETROL,557000
GRAND-I10,ERA,2013,PETROL,500000
GRAND-I10,MAGNA,2013,PETROL,528000
GRAND-I10,SPORTZ,2013,PETROL,563000
GRAND-I10,SPORTS EDITION,2013,PETROL,578000
GRAND-I10,ASTA,2013,PETROL,627000
GRAND-I10,ASTA (O),2013,PETROL,619000
GRAND-I10,ERA,2013,DIESEL,590000
GRAND-I10,MAGNA,2013,DIESEL,609000
GRAND-I10,SPORTZ,2013,DIESEL,653000
GRAND-I10,SPORTS EDITION,2013,DIESEL,609000
GRAND-I10,ASTA,2013,DIESEL,672000
GRAND-I10,ASTA (O),2013,DIESEL,711000
GRAND-I10-NIOS,ERA,2019,PETROL,530000
GRAND-I10-NIOS,MAGNA,2019,PETROL,600000
GRAND-I10-NIOS,SPORTZ,2019,PETROL,668000
GRAND-I10-NIOS,ASTA,2019,PETROL,744000
GRAND-I10-NIOS,SPORTZ TURBO GDI,2019,PETROL,789000
GRAND-I10-NIOS,MAGNA,2019,DIESEL,722000
GRAND-I10-NIOS,SPORTZ,2019,DIESEL,776000
GRAND-I10-NIOS,ASTA,2019,DIESEL,851000
,,,,
I20,ERA,2008,PETROL,459000
I20,MAGNA,2008,PETROL,497000
I20,SPORTZ,2008,PETROL,546000
I20,SPORTZ OPTIONAL,2008,PETROL,527000
I20,ASTA,2008,PETROL,588000
I20,ASTA (O),2008,PETROL,593000
I20,ASTA WITH AVN,2008,PETROL,588000
I20,ASTA (O) SUNROOF,2008,PETROL,593000
I20,ERA,2008,DIESEL,570000
I20,MAGNA,2008,DIESEL,620000
I20,MAGNA ABS,2008,DIESEL,630000
I20,SPORTZ,2008,DIESEL,661000
I20,SPORTZ OPTIONAL,2008,DIESEL,638000
I20,ASTA,2008,DIESEL,703000
I20,ASTA (O),2008,DIESEL,734000
I20,ASTA WITH AVN,2008,DIESEL,747000
I20,ASTA (O) SUNROOF,2008,DIESEL,734000
I20,ERA,2010,PETROL,489000
I20,ASTA WITH AVN,2010,PETROL,648000
I20,ERA,2010,DIESEL,612000
I20,MAGNA,2010,DIESEL,638000
I20,SPORTZ,2010,DIESEL,722000
I20,ASTA WITH AVN,2010,DIESEL,767000
I20,ERA,2012,PETROL,488000
I20,MAGNA,2012,PETROL,540000
I20,MAGNA (O),2012,PETROL,542000
I20,SPORTZ,2012,PETROL,595000
I20,ASTA,2012,PETROL,641000
I20,ASTA (O),2012,PETROL,685000
I20,ERA,2012,DIESEL,612000
I20,MAGNA,2012,DIESEL,663000
I20,MANGA (O),2012,DIESEL,666000
I20,SPORTZ,2012,DIESEL,720000
I20,ASTA,2012,DIESEL,764000
I20,ERA,2015,PETROL,555000
I20,MAGNA,2015,PETROL,614000
I20,SPORTZ,2015,PETROL,667000
I20,SPORTZ OPTION,2015,PETROL,676000
I20,ASTA,2015,PETROL,720000
I20,ASTA OPTION,2015,PETROL,756000
I20,ANNIVERSARY EDITION,2015,PETROL,671000
I20,ERA,2015,DIESEL,676000
I20,MAGNA,2015,DIESEL,735000
I20,SPORTZ,2015,DIESEL,793000
I20,SPORTZ OPTION,2015,DIESEL,788000
I20,ASTA,2015,DIESEL,843000
I20,ASTA OPTION,2015,DIESEL,880000
I20,ANNIVERSARY EDITION,2015,DIESEL,786000
ELITE-120,ERA,2018,PETROL,543000
ELITE-120,MAGNA,2018,PETROL,606000
ELITE-120,SPORTZ,2018,PETROL,667000
ELITE-120,ASTA,2018,PETROL,720000
ELITE-120,ASTA (O),2018,PETROL,799000
ELITE-120,ERA,2018,DIESEL,681000
ELITE-120,MAGNA,2018,DIESEL,739000
ELITE-120,SPORTZ,2018,DIESEL,791000
ELITE-120,ASTA,2018,DIESEL,844000
ELITE-120,ASTA (O),2018,DIESEL,924000
I20,MAGNA,2021,PETROL,698000
I20,SPORTZ,2021,PETROL,782000
I20,ASTA,2021,PETROL,893000
I20,ASTA (O),2021,PETROL,948000
I20,MAGNA,2021,DIESEL,829000
I20,SPORTZ,2021,DIESEL,909000
I20,ASTA (O),2021,DIESEL,1069000
,,,,
I20-N-LINE,N6 IMT,2021,PETROL,991000
I20-N-LINE,N8 IMT,2021,PETROL,1094000
I20-N-LINE,N8 DCT,2021,PETROL,1182000
,,,,
ELANTRA,GLS,2004,DIESEL,850000
ELANTRA,GLS ( LEATHER ),2004,DIESEL,848000
ELANTRA,GT,2004,PETROL,896000
ELANTRA,GT DECONETENT,2004,PETROL,725000
ELANTRA,CRDi ,2004,PETROL,951000
ELANTRA,CRDi DECONTENT,2004,PETROL,876000
ELANTRA,CRDi LEATHER,2004,DIESEL,987000
ELANTRA,GLS,2006,DIESEL,843000
ELANTRA,GLS ( LEATHER ),2006,DIESEL,853000
ELANTRA,GT,2006,PETROL,800000
ELANTRA,GT DECONETENT,2006,PETROL,755000
ELANTRA,CRDi,2006,DIESEL,876000
ELANTRA,CRDi DECONTENT,2006,DIESEL,912000
ELANTRA,CRDi LEATHER,2006,DIESEL,981000
ELANTRA,S,2012,PETROL,1516000
ELANTRA,SX,2012,PETROL,1650000
ELANTRA,S,2012,PETROL,1443000
ELANTRA,BASE,2012,PETROL,1563000
ELANTRA,SX,2012,PETROL,1594000
ELANTRA,S,2015,PETROL,1520000
ELANTRA,SX MT,2015,PETROL,1653000
ELANTRA,SX AT,2015,PETROL,1767000
ELANTRA,BASE,2015,PETROL,1568000
ELANTRA,S MT,2015,PETROL,1646000
ELANTRA,SX MT,2015,DIESEL,1787000
ELANTRA,SX AT,2015,DIESEL,1919000
ELANTRA,S,2016,DIESEL,1382000
ELANTRA,SX,2016,PETROL,1587000
ELANTRA,SX (O),2016,PETROL,1707000
ELANTRA,S,2016,PETROL,1523000
ELANTRA,SX,2016,DIESEL,1737000
ELANTRA,SX (O),2016,DIESEL,1816000
ELANTRA,S,2020,PETROL,1786000
ELANTRA,SX AT,2020,PETROL,1889000
ELANTRA,SX (O) AT,2020,PETROL,2011000
ELANTRA,S,2020,DIESEL,1888000
ELANTRA,SX AT,2020,DIESEL,2113000
,,,,
VERNA,I,2006,PETROL,634000
VERNA,I ABS,2006,PETROL,642000
VERNA,Xi ,2006,PETROL,652000
VERNA,Xi ABS,2006,PETROL,656000
VERNA,VTVT 1.6,2006,PETROL,661000
VERNA,XXi,2006,PETROL,709000
VERNA,Xxi ABS,2006,PETROL,729000
VERNA,VTVT SX 1.6,2006,PETROL,738000
VERNA,VGT,2006,DIESEL,746000
VERNA,VGT ABS,2006,DIESEL,768000
VERNA,VGT 1.5,2006,DIESEL,794000
VERNA,VGT SX,2006,DIESEL,798000
VERNA,VGT SX ABS,2006,DIESEL,816000
VERNA,VGT SX 1.5,2006,DIESEL,845000
VERNA,TRANSFORM VTVT,2010,PETROL,658000
VERNA,TRANSFORRM VTVT-AU,2010,PETROL,676000
VERNA,TRANSFORM SX VTVT,2010,PETROL,752000
VERNA,TRANSFORM Xi,2010,PETROL,752000
VERNA,TRANSFORM Xxi  ,2010,PETROL,762000
VERNA,TRANSFORM Xxi ABS,2010,PETROL,769000
VERNA,TRNSFORM VGT,2010,DIESEL,785000
VERNA,TRANSFORM VGT ABS,2010,DIESEL,790000
VERNA,TRANSFORM VGT-AU,2010,DIESEL,808000
VERNA,TRANSFORM VGT SX,2010,DIESEL,857000
VERNA,TRANSFORM VGT SX ABS,2010,DIESEL,859000
VERNA,FLUDIC VTVT 1.4,2011,PETROL,770000
VERNA,FLUDIC VTVT 1.4 GL,2011,PETROL,772000
VERNA,FLUDIC VTVT 1.6,2011,PETROL,815000
